Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,UC Active,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1,3,0,4.13E+07,0.2,0.5,0.4,0.00528023,0,1,1.02E+10,5.74E+09,1.03E+08,3.20E+06,3.38E+09,1.76E+08,2.53E+07,0,6.22E+07,0,6.99E+08,6,30212.1,8098.21,0,9,2.39E+08,726677,,1.62E+10,1.24E+09,0,0,7.99E+09,0,6.95E+09,0,0,3.48E+08,6.71E+08,4.13E+07,1.59E+07,1.59E+07,9.89E+06,2.64E+10,,0,0,0,0,0,0,0,0,0,7.65E-10,1.46E-11,0,6462,0,0,0,,0,55,71,0,4,0,2,0,0,0,0,0,0,0,0,0,,1.58E+06,0,0,2.28E+06,0,2.03E+07,0,8.72E+06,0.00031223,0.00104632,0.000354334,0,2.19E+08,0,0,0,,124800,0,0,0,0,5.82E+07,2.80E+07,8.08E+07,0,2.45E+06,0,0,0,0,5.46E+07,2.78E+06,0,0,,0,0,,0,0
274,5,1,3,0,1.13E+08,0.2,0.5,0.4,0.00884571,0,1,9.06E+09,5.15E+09,0,3.20E+06,3.15E+09,2.29E+08,4.91E+07,0,9.79E+07,0,3.74E+08,6,14015.3,6096.96,0,0,-6.98E+07,1.99E+06,,1.75E+10,1.50E+09,1.66E+06,0,7.99E+09,0,7.99E+09,1,0,4.00E+08,5.14E+08,1.13E+08,1.59E+07,1.72E+07,8.63E+06,2.65E+10,,0,0,0,0,0,0,0,0,0,0,0,0,5804,0,0,0,,0,55,71,0,4,0,2,0,0,0,0,0,0,0,0,0,,4.33E+06,0,0,1.70E+06,0,1.78E+07,0,1.37E+07,0,3.02E-06,1.61E-06,0,2.02E+08,0,0,0,,4.69E+06,1.48E+07,3.73E+06,0,2.17E+07,6.94E+07,3.80E+07,1.09E+07,2.12E+06,770799,2.37E+07,0,2.26E+07,2.41E+06,1.21E+07,4.30E+07,4.90E+06,0,,0,0,,0,0
3753,7,1,3,0,1.73E+08,0.2,0.5,0.4,0.00936581,0,1,1.09E+10,6.13E+09,5.32E+07,0,3.44E+09,1.54E+08,7.77E+07,0,1.35E+08,0,8.98E+08,6,34348.2,14103.5,0,5,-1.88E+08,1.84E+06,,1.78E+10,1.84E+09,3.12E+06,0,7.99E+09,0,8.01E+09,2,0,4.01E+08,5.27E+08,1.73E+08,1.56E+07,2.00E+07,8.78E+06,2.87E+10,,0,0,0,0,0,0,0,0,0,0,11,396,5621,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,3.70E+06,0,684047,1.99E+06,0,2.24E+07,0,1.89E+07,0,0,3.57E+06,6.95E+06,1.80E+08,0,0,0,,3.12E+07,2.32E+07,1.54E+07,0,1.36E+07,5.86E+07,5.91E+06,4.19E+07,176640,1.91E+06,1.82E+07,0,2.98E+07,3.10E+06,2.43E+07,5.85E+07,1.23E+07,0,,0,0,,0,0
1862,10,1,3,0,1.05E+08,0.2,0.5,0.4,0.00886194,0,1,1.18E+10,6.36E+09,5.75E+07,0,3.60E+09,1.23E+08,5.46E+07,0,1.23E+08,366495,1.49E+09,6,64712.2,16946,36.6495,5,1.11E+08,1.84E+06,,1.75E+10,1.47E+09,3.12E+06,0,7.99E+09,0,8.01E+09,2,0,4.01E+08,6.95E+08,1.05E+08,1.53E+07,2.49E+07,8.78E+06,2.93E+10,,0,0,0,0,0,0,0,0,0,0,0,219,6974,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,4.01E+06,0,607632,1.65E+06,0,2.23E+07,0,1.73E+07,0,0,0,3.15E+06,1.99E+08,0,0,0,,5.79E+07,7.80E+06,1.95E+07,0,2.44E+07,2.35E+06,1.03E+07,2.14E+07,392669,1.94E+06,1.27E+07,0,4.23E+07,624252,4.33E+07,1.75E+07,7.00E+06,0,,0,0,,0,0
7201,15,1,3,0,2.60E+08,0.2,0.5,0.4,0.0127232,0,1,1.02E+10,5.76E+09,5.46E+07,0,3.24E+09,2.25E+08,7.27E+07,0,9.96E+07,0,7.21E+08,6,29602,9653.32,0,5,-1.16E+08,4.57E+06,,1.72E+10,2.03E+09,6.77E+06,0,7.99E+09,0,7.14E+09,3,0,3.57E+08,5.20E+08,2.60E+08,1.42E+07,2.06E+07,6.05E+06,2.73E+10,,0,0,0,0,0,0,0,0,0,4,0,1544,5191,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,7.78E+06,0,807818,1.40E+06,0,1.82E+07,0,1.40E+07,0,2.94E+06,0.000132188,2.58E+07,1.57E+08,0,0,0,,2.50E+07,7.61E+06,9.17E+06,0,3.58E+06,5.63E+07,0,3.78E+07,402888,2.84E+07,1.14E+07,0,7.06E+07,9.46E+06,1.23E+07,1.00E+08,918574,0,,0,0,,0,0
7202,20,1,3,0,1.95E+07,0.2,0.5,0.4,0.0376132,0,1,1.37E+10,7.22E+09,2.63E+07,0,3.80E+09,2.65E+07,3.15E+07,0,9.89E+07,0,2.45E+09,6,117695,18436.9,0,3,-2.13E+08,344051,,1.59E+10,1.16E+09,0,0,7.99E+09,0,6.77E+09,0,0,3.39E+08,6.04E+08,1.95E+07,1.50E+07,2.88E+07,1.03E+07,2.96E+10,,0,0,0,0,0,0,0,0,0,0,0,1655,6915,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,748378,0,724499,1.65E+06,0,2.19E+07,0,1.39E+07,0,0,0,1.97E+07,1.91E+08,0,0,0,,1.24E+07,1.24E+07,2.34E+06,0,1.27E+07,4.53E+07,4.33E+07,2.24E+07,728917,503298,2.29E+07,0,5.82E+06,1.25E+06,2.05E+07,6.66E+06,3.15E+06,0,,0,0,,0,0
2,2,1,3,0,5.00E+07,0.2,0.5,0.4,0.00543063,0,1,1.01E+10,5.60E+09,1.05E+08,3.20E+06,3.33E+09,9.15E+07,3.46E+07,0,8.91E+07,0,8.29E+08,6,35639.7,9740.61,0,8,2.40E+08,880107,,1.63E+10,1.27E+09,0,0,7.99E+09,0,7.01E+09,0,0,3.50E+08,6.76E+08,5.00E+07,1.59E+07,1.59E+07,9.74E+06,2.63E+10,,0,0,0,0,0,0,0,0,0,0,0,0,6307,0,0,0,,0,55,71,0,4,0,2,0,0,0,0,0,0,0,0,0,,1.91E+06,0,0,2.36E+06,0,1.90E+07,0,1.25E+07,0,6.80E-06,8.03E-06,0,2.15E+08,0,0,0,,1.40E+07,0,0,0,0,1.85E+07,4.36E+07,8.21E+07,0,2.45E+06,0,0,0,1.53E+07,4.35E+07,1.33E+07,0,0,,0,0,,0,0
21,5,1,3,0,1.17E+08,0.2,0.5,0.4,0.000210659,0,1,8.77E+09,4.96E+09,1.23E+07,3.20E+06,3.07E+09,2.57E+08,4.31E+07,0,7.41E+07,0,3.50E+08,6,13209.1,5633.78,0,1,-1.07E+08,2.06E+06,,1.75E+10,1.51E+09,3.23E+06,0,7.99E+09,0,8.01E+09,1,0,4.01E+08,8.96E+08,1.17E+08,1.52E+07,1.65E+07,8.56E+06,2.63E+10,,0,0,0,0,0,0,0,0,0,0,0,0,5582,0,0,0,,0,55,71,0,4,0,2,0,0,0,0,0,0,0,0,0,,4.47E+06,0,0,2.08E+06,0,2.04E+07,0,1.04E+07,0,0,0,0,2.01E+08,0,0,0,,2.35E+07,1.38E+07,3.47E+06,0,4.56E+07,0,0,7.77E+07,499847,770799,1.76E+07,0,1.76E+07,1.77E+06,5.89E+07,6.26E+06,9.91E+06,0,,0,0,,0,0
55,7,1,3,0,1.74E+08,0.2,0.5,0.4,0.000819793,0,1,1.05E+10,5.90E+09,5.10E+07,0,3.35E+09,1.89E+08,7.33E+07,0,1.18E+08,0,8.47E+08,6,32642.3,13079.1,0,5,-1.23E+08,1.84E+06,,1.79E+10,1.85E+09,1.66E+06,0,7.99E+09,0,8.01E+09,1,0,4.01E+08,9.21E+08,1.74E+08,1.59E+07,2.03E+07,8.78E+06,2.84E+10,,0,0,0,0,0,0,0,0,0,0,9,529,5441,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,3.70E+06,0,569499,2.05E+06,0,2.15E+07,0,1.65E+07,0,0,3.62E+06,8.92E+06,1.80E+08,0,0,0,,645825,1.16E+07,7.66E+06,0,1.48E+07,3.34E+07,1.97E+07,8.23E+07,1.98E+06,1.19E+06,1.49E+07,0,1.38E+07,9.63E+06,8.52E+07,3.43E+07,7.91E+06,0,,0,0,,0,0
