Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,Benders Multicut,UC Active,UC Vars Relaxed,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4911.02,7,1,3,0,1.80E+08,0.2,0.5,0.4,0.00994271,0,0,1,0,1.09E+10,6.15E+09,5.10E+07,0,3.45E+09,1.47E+08,7.99E+07,0,1.35E+08,0,8.62E+08,6,33188.4,13338.2,0,5,-1.73E+08,1.80E+06,,1.79E+10,1.88E+09,1.66E+06,0,7.99E+09,0,8.00E+09,1,0,4.00E+08,7.26E+08,1.80E+08,1.59E+07,2.03E+07,8.82E+06,,,0,0,0,0,0,0,0,0,0,0,12,359,5585,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,3.59E+06,0,486004,2.28E+06,0,1.81E+07,0,1.89E+07,0,0,4.02E+06,7.50E+06,1.81E+08,0,0,0,,2.46E+06,1.33E+07,2.10E+06,0,1.16E+07,6.78E+07,3.89E+07,5.09E+07,3.35E+06,1.42E+06,2.06E+07,0,2.56E+07,0,4.96E+06,9.54E+07,7.02E+06,0,,0,0,,0,0,
2722.84,10,1,3,0,1.78E+08,0.2,0.5,0.4,0.00923513,0,0,1,0,1.16E+10,6.27E+09,4.24E+07,0,3.54E+09,1.19E+08,7.74E+07,0,1.29E+08,0,1.38E+09,6,60989.2,14907.3,0,3,1.89E+07,1.84E+06,,1.79E+10,1.86E+09,3.73E+06,0,7.99E+09,0,8.01E+09,2,0,4.01E+08,6.26E+08,1.78E+08,1.59E+07,2.55E+07,8.78E+06,,,0,0,0,0,0,0,0,0,0,0,4,298,6473,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,3.70E+06,0,577507,1.71E+06,0,2.24E+07,0,1.82E+07,0,0,3.77E+06,4.93E+06,1.92E+08,0,0,-1.67E-09,,1.66E+07,2.86E+07,838509,0,2.05E+07,4.15E+07,2.75E+07,3.15E+07,606683,1.03E+07,2.04E+07,0,2.13E+07,2.42E+06,1.69E+07,9.39E+07,9.35E+06,0,,0,0,,0,0,
10801.4,15,1,3,0,2.54E+08,0.2,0.5,0.4,0.0120483,0,0,1,0,1.02E+10,5.79E+09,3.90E+07,4.44E-10,3.24E+09,1.95E+08,7.05E+07,0,1.04E+08,0,7.99E+08,6,33443.9,10137.2,0,4,-1.19E+08,4.48E+06,,1.71E+10,2.01E+09,6.35E+06,0,7.99E+09,0,7.11E+09,3,0,3.55E+08,6.66E+08,2.54E+08,1.48E+07,2.12E+07,6.14E+06,,,0,0,0,0,0,0,0,0,0,4,0,1671,5136,0,0,0,,0,55,0,4.43E-16,4,0,2,0,0,0,0,0,0,0,0,0,,6.51E+06,0,767952,2.01E+06,0,2.04E+07,0,1.46E+07,8.69E-09,4.39E+06,-1.96E-08,2.25E+07,1.58E+08,0,0,0,,3.54E+07,2.03E+07,1.02E+07,0,2.05E+07,3.19E+07,1.15E+07,4.22E+07,1.12E+06,742638,1.90E+07,0,3.75E+07,2.01E+06,6.01E+07,6.78E+07,9.24E+06,0,,0,0,,0,0,
10814.6,20,1,3,0,1.76E+08,0.2,0.5,0.4,0.0119426,0,0,1,0,1.13E+10,6.28E+09,2.63E+07,0,3.51E+09,1.51E+08,6.18E+07,0,1.00E+08,0,1.16E+09,6,51579.2,12450,0,3,-1.69E+08,3.09E+06,,1.75E+10,1.73E+09,3.12E+06,0,7.99E+09,0,7.80E+09,0,0,3.90E+08,8.71E+08,1.76E+08,1.48E+07,2.86E+07,7.53E+06,,,0,0,0,0,0,0,0,0,0,-9.89E-12,0,818,6449,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,6.73E+06,0,706519,1.65E+06,0,2.14E+07,0,1.41E+07,2.07E-06,4.89E-05,-2.62E-06,1.24E+07,1.88E+08,0,0,-6.74E-10,,4.25E+07,2.22E+07,2.68E+07,0,1.24E+07,3.48E+07,1.39E+07,2.74E+07,1.13E+06,1.33E+06,1.99E+07,0,3.67E+07,1.04E+07,4.01E+07,1.97E+07,7.43E+06,0,,0,0,,0,0,
682.184,25,1,3,0,0,0.2,0.5,0.4,0.00067628,0,0,1,0,1.90E+10,1.17E+10,2.63E+07,0,4.66E+09,1.31E+07,1.95E+08,0,7.25E+08,3.07E+08,1.39E+09,6,68900.6,8823.01,30683.8,3,-1.91E+08,0,,4.10E+11,1.09E+09,0,0,7.99E+09,3.93E+11,8.01E+09,0,3.93E+08,4.01E+08,6.02E+08,0,1.55E+07,3.52E+07,1.06E+07,,,0,0,0,0,0,0,0,0,0,0,0,0,3069,0,0,47,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,0,0,687882,3.08E+06,0,2.25E+07,0,2.46E+07,0,0,0,0,1.24E+08,0,0,7.29E+07,,6.55E+06,1.86E+07,1.06E+06,0,5.07E+07,4.99E+07,7.23E+06,2.22E+07,417606,1.03E+06,2.00E+07,0,1.20E+06,2.99E+06,4.95E+06,702735,1.17E+07,0,,0,0,,0,0,
10802.2,30,1,3,0,4.18E+07,0.2,0.5,0.4,0.696009,0,0,1,0,7.72E+10,5.64E+09,2.63E+07,0,3.21E+09,4.55E+07,3.52E+07,0,1.02E+08,6.52E+10,2.87E+09,6,122436,34658.6,6.52E+06,3,-1.47E+08,736829,,1.61E+10,1.24E+09,5.20E+06,0,7.99E+09,0,6.83E+09,3,0,3.41E+08,7.76E+08,4.18E+07,1.38E+07,4.45E+07,9.88E+06,,,0,0,0,0,0,0,0,0,0,4,0,1365,5180,0,0,0,,0,55,0,0,4,0,2,0,0,0,0,0,0,0,0,0,,955901,0,648108,1.48E+06,0,2.12E+07,0,1.43E+07,0.00538787,879305,9.28E-05,2.23E+07,1.77E+08,0,0,0,,3.77E+07,4.17E+06,2.86E+06,0,1.57E+07,3.00E+07,1.46E+07,5.05E+07,879841,5.47E+06,1.28E+07,0,1.24E+07,8.24E+06,2.61E+07,3.10E+06,2.54E+06,0,,0,0,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sol_Time,Num_Rep_days,Approach :,Case: ,xi_given,xi_val,Emis_lim,RPS,RNG_cap,MIO Gap:,Benders,Benders Multicut,Benders Iter,UC Active,UC Vars Relaxed,Total_E_cost,Est_plant_cost,Est_trans_cost,Decom_cost,Fixed_cost,Startup_cost,Variable_cost,dfo_coal_or_NG_emis_cost,Coal_dfo_or_NG_fuel_cost,Shedding_cost,Storage_cost,Num_storage,Storage_level,Storage_cap,Total_curt,Num_new_trans,Total_flow,E_emis,,Total_NG_cost,Import_cost,Pipe_est_cost,Str_est_cost,Str_fix_cost,NG_shedding_cost,RNG_shedding_cost,Num_est_pipe,Total_NG_shedding,Total_RNG_shedding,flowGG,flowGE,flowGL,flowVG,NG_emis,,,num_est(nplt),num_decom(nplt),prod(nplt),supply(nGnode),storage(nSLV),vapor(nSLV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.83,2,1,3,0,0,0.2,0.5,0.4,0.000924455,1,0,3,1,0,1.07E+10,5.87E+09,1.13E+08,3.20E+06,3.43E+09,1.89E+08,2.18E+07,0,7.76E+07,0,9.46E+08,6,39835,11804.7,0,10,2.59E+08,0,,1.58E+10,1.09E+09,0,0,7.99E+09,0,6.68E+09,0,0,3.34E+08,2.35E+08,0,1.16E+07,1.16E+07,1.06E+07,,,0,0,0,0,0,0,0,0,0,0,0,0,6609,0,0,0,,0,55,71,0,4,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,2.95E+06,0,1.78E+07,0,1.09E+07,0,0,0,0,2.22E+08,0,0,0,,0,4.60E+06,6.50E+06,0,1.59E+06,2.70E+07,6.14E+07,6.53E+07,0,1.57E+06,0,0,2.46E+07,981130,0,5.58E+06,0,0,,0,0,,0,0
